original,Error,Corrected
නිහාර්දීන්,නිනාර්දීන්,නිනාර්දීන්
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
මරිකාර්,මරිකාර්,මරිකාර්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
මහගම,මහගම,මහගම
ලිහිණිකඩු,ලිහිණිකඩු,ලිහිණිකඩු
ත්‍රිමානි,තිමානි,තිමානි
නෙවිඳු,නෙවිඳු,නෙවිඳු
ලැඩිස්ටන්,ඇලැඩ්ස්ටන්,ඇලැඩ්ස්ටන්
සමරාගේ,සමරාගේ,සමරාගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ජයවීරගේ,ජයවීරගේ,ජයවීරගේ
ප්‍රනාන්දු,ඈඅඑප්‍රනාන්ද්‍රුං,ඈඅඑප්‍රනාන්ද්‍රුං
මලිත්,මලිත්,මලිත්
නදීශන,නදීශන,නදීශන
කුමාර්,කුමාර්,කුමාර්
දොම්පයාලාගේ,දොම්පයාලාගේ,දොම්පයාලාගේ
හිරන්ත,හිරන්න,හිරන්න
මොහොමඩ්,මොහොමඩ්,මොහොමඩ්
ඉලන්දාරි,ඞමලන්දාර්ං,ඞමලන්දාර්ං
අබේවර්ධන,අබේවර්ධන,අබේවර්ධන
මාහීර්,්‍යමාහිරටි,්‍යමාහිරටි
වීරමන්ත්‍රීගේ,වීරමන්ත්‍රීග්,වීරමන්ත්‍රීග්
නිෂාන්,සඞංනිෂාන්,සඞංනිෂාන්
නුවරපක්ෂ,නුවරපක්ෂ,නුවරපක්ෂ
බෝපගොඩ,බෝපගොඩ,බෝපගොඩ
රත්නායක,රත්නායක,රත්නායක
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කුමාරි,කමා,කමා
තිලකරත්නම්,තිලකරත්නමි,තිලකරත්නමි
නලින්,නලින්,නලින්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ප්‍රියදර්ශන,ප්‍රියදර්ශන,ප්‍රියදර්ශන
රිෆ්කා,වෆ්කා,වෆ්කා
හැරිසන්,හැර්සන්,හැර්සන්
කුමාර,ඬකුමාර,ඬකුමාර
දිසානායකගේ,දිසානායකගේ,දිසානායකගේ
මුත්තු,මුත්තු,මුත්තු
ආරියවති,ආර්යවනි,ආර්යවනි
අංජන,අංජන,අංජන
මනෝජ්,මනෝජ්,මනෝජ්
මොහොට්ටි,මොහොට්ටි,මොහොට්ටි
පුරනේ,පුරන්,පුරන්
හර්ෂනි,හර්ෂනී,හර්ෂනී
ධනවතී,ධනවතී,ධනවතී
කුමාර,කුමාර,කුමාර
බුද්ධිමා,බුද්ධමා,බුද්ධමා
සුදර්මා,සුදර්මා,සුදර්මා
නදීශාන්,හනදීශාන්,හනදීශාන්
නිවුන්හැල්ලගේ,නිවුන්හැල්ලගේ,නිවුන්හැල්ලගේ
ගමගේ,ගමගේ,ගමගේ
කානීස්පරි,කානීස්පට්,කානීස්පට්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සන්මුගනාදන්,සන්මුගනාදන්,සන්මුගනාදන්
සාමිතම්බි,සාම්තම්බ්,සාම්තම්බ්
මුතුනායක,මුතුනායක,මුතුනායක
මොහමඩ්,මොහමඩ්,මොහමඩ්
දේවසිංහ,ඞදේවසිංහ,ඞදේවසිංහ
ජයලත්,ජයලත්,ජයලත්
අබ්දුල්,අබ්දුල්,අබ්දුල්
උදය,උය,උය
බටුවංගල,බටුවංගල,බටුවංගල
චානක,චානන,චානන
ප්‍රාන්ස්න්සස්,ප්‍රාන්ස්න්සස්,ප්‍රාන්ස්න්සස්
පෙරුම්බඩගේ,පෙරැම්බඩගේ,පෙරැම්බඩගේ
විජේරිස්,විරේර්ස්,විරේර්ස්
අමරසේකර,අමරසේකර,අමරසේකර
විජේකුමාර,චිජේකුමාර,චිජේකුමාර
අපේක්ෂා,අපේක්ෂා,අපේක්ෂා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මල්ලිකා,මල්ලිකා,මල්ලිකා
මැණික්පුර,මැණික්පුර,මැණික්පුර
හරිතා,හදතා,හදතා
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ජයලක්ෂ්මි,ජයලක්ෂ්ම්,ජයලක්ෂ්ම්
ඉඟුරුවත්තේ,මබුරුවන්තේ,මබුරුවන්තේ
චමරි,වම්,වම්
ප්‍රනාන්දු,සඈඟළ්‍රනාන්ද්‍රු,සඈඟළ්‍රනාන්ද්‍රු
පද්මිණී,එම්,එම්
තුශංකා,තුශංකා,තුශංකා
ගෙදර,ගෙදර,ගෙදර
මධුවන්ත,මධුවන්ත,මධුවන්ත
බටගල්ලේ,බටගල්ලේ,බටගල්ලේ
හඳගම,හඳගම,හඳගම
මොහමඩ්,මොනමඩ්,මොනමඩ්
සංජය,සංජය,සංජය
ක්‍රිෂ්මාල්,ක්‍රිෂ්මාල්,ක්‍රිෂ්මාල්
දංගෙදර,දැංගෙදර,දැංගෙදර
ලවිදු,යලව්දු,යලව්දු
පොඩිමහත්මයා,පොඩිමහත්මයා,පොඩිමහත්මයා
සුමනසිරි,සුමනසිරි,සුමනසිරි
ප්‍රදීප,ප්‍රදිප්,ප්‍රදිප්
පේමදාස,ජේමදාස,ජේමදාස
ඉබ්නු,ඉබ්නු,ඉබ්නු
අබේසිංහ,අබේසිංහ,අබේසිංහ
ජයසිංහගේ,ජයසිංහගේ,ජයසිංහගේ
මුහම්මදු,ඞඝමුනම්මටු,ඞඝමුනම්මටු
අක්බර්,අක්බර්,අක්බර්
විරාජ්,විරාජ්,විරාජ්
මුහම්දිරම්,හමුහම්දිරම්,හමුහම්දිරම්
කාන්ති,කාන්ති,කාන්ති
කොතලාවල,කොතලාවල,කොතලාවල
ක්‍රාමර්,ක්‍රාමම්,ක්‍රාමම්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රාජපක්‍ෂ,රාජපක්ත,රාජපක්ත
වීරප්පුලිගේ,වීරප්පුලිගේ,වීරප්පුලිගේ
තවලම,වලම,වලම
ලියනදුර,ලියනදුර,ලියනදුර
නිලුෂා,නිලුෂා,නිලුෂා
සින්නසාමි,සින්නසාම්,සින්නසාම්
රණසිංහ,රණසිංහ,රණසිංහ
නිවංක,නිචා්ක,නිචා්ක
වාසනා,චාසනා,චාසනා
අසුරමානගේ,අසුරමානගේ,අසුරමානගේ
රත්නායක,රත්නායක,රත්නායක
කමණි,ඞඉකමණි,ඞඉකමණි
කුරුකුළු,ඞකුරුකුළු,ඞකුරුකුළු
ප්‍රමිතා,ප්‍රමිතා,ප්‍රමිතා
අබේකෝන්,අබේකෝන්,අබේකෝන්
අනුර,අනුර,අනුර
චතුමික,ඬඞචතනුම්ක,ඬඞචතනුම්ක
කස්තුරි,දබස්තර්,දබස්තර්
සිල්වා,සිළ්වා,සිළ්වා
විජයරංගන,චිජයරංගන,චිජයරංගන
ඉන්දික,මන්දික,මන්දික
සයිරස්,සයිරස්,සයිරස්
අළුත්ගේ,අළුත්ගේ,අළුත්ගේ
මදුෂී,ම්දුෂි්,ම්දුෂි්
දැරනියගල,දැරනියගල,දැරනියගල
අත්තනායක,අත්තනායක,අත්තනායක
මිස්රීනා,ම්ස්ර්නා,ම්ස්ර්නා
සෙව්වන්ධි,සෙච්වන්ධිං,සෙච්වන්ධිං
මුහන්දිරම්,මුහන්දිරම්,මුහන්දිරම්
ඉනායතුල්ලා,නොයතුල්ලා,නොයතුල්ලා
බුලත්වැල,ඇබුලත්වල,ඇබුලත්වල
කුමාර,කුමාර,කුමාර
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ගීතක,ගීතත්,ගීතත්
මොහමඩ්,මොහමඩ්,මොහමඩ්
සිට්ටා,සිරිටා,සිරිටා
සෙනවිරත්න,සෙනවිරත්න,සෙනවිරත්න
තාහිර්,නානිර්,නානිර්
ශ්‍රිනාත්,ෂඡ්‍රිණ්ත්,ෂඡ්‍රිණ්ත්
සුසීලා,සුසිඳළා,සුසිඳළා
නෙටොල්පිටිය,නෙටොල්පිටිය,නෙටොල්පිටිය
එල්ලිවේල්,චිල්ලිවේල්,චිල්ලිවේල්
වසන්ත,වසන්ත,වසන්ත
අජිත්,අපිත්,අපිත්
රූපසිංහ,රූපසිංග,රූපසිංග
ජීවනි,වීවනි,වීවනි
සිරිබාස්හරන්,සිරිබාස්තරන්,සිරිබාස්තරන්
චමින්ද,චම්න්ලා,චම්න්ලා
වර්ණකුලසූරිය,වර්ණකුලසූරය,වර්ණකුලසූරය
ක්‍රිෂ්ණි,ඞඉනිීෂ්නි,ඞඉනිීෂ්නි
වන්නි,චන්නි,චන්නි
ප්‍රියෂාන්,ප්‍රියෂාන්,ප්‍රියෂාන්
ජයරත්න,ජයරත්න,ජයරත්න
තිලකරත්නගේ,නිලකරත්නගේ,නිලකරත්නගේ
සුබසිංහ,සුබසිංහ,සුබසිංහ
ජාපාවත්තේ,ජාපාවත්තේ,ජාපාවත්තේ
නවගමුව,නවගමුව,නවගමුව
ගුහන්,ඞඉගුහන්,ඞඉගුහන්
පාලමන්ඩඩිගේ,පාලමන්ඩඩිගේ,පාලමන්ඩඩිගේ
සුදාකරන්,සුදාකරන්,සුදාකරන්
මුකුන්දාදුර,මුකුන්දාදුර,මුකුන්දාදුර
ප්‍රෙසන්න,ඬඈභප්‍රෙසන්න,ඬඈභප්‍රෙසන්න
කළුතන්තිරි,කචළුනන්තරි,කචළුනන්තරි
කහඳ,බඳ,බඳ
වසම්,වසම,වසම
කුඩාහෙට්ටි,කුඩාහෙට්ටි,කුඩාහෙට්ටි
බණ්ඩාර,බන්ඩාර,බන්ඩාර
සුසන්ත,සුසන්න,සුසන්න
එදිරිසිංහ,චිදිර්සිංහං,චිදිර්සිංහං
ටීනාස්,ඈඊටීනාස්,ඈඊටීනාස්
ගෙදර,එගෙර,එගෙර
ෂමල්ක,මමල්ඛ,මමල්ඛ
චම්පා,චම්පා,චම්පා
ඉරේෂා,ඉරේෂා,ඉරේෂා
නිශානි,නිශානි,නිශානි
කලින්දරලායේ,කලින්දරලායේ,කලින්දරලායේ
ජෑන්ස්,ජෑන්ස්,ජෑන්ස්
ගලහිටියාවේ,ගලහිටියාවේ,ගලහිටියාවේ
වික්නේස්වරන්,වික්නේස්වරන්,වික්නේස්වරන්
පින්නවල,පින්නවල,පින්නවල
නිශාධි,නිශාධි,නිශාධි
සංකල්පනා,සංකල්පනා,සංකල්පනා
හේරත්,හේරත්,හේරත්
සඳරේණු,සඳරේණු,සඳරේණු
ග්‍රෙගරි,ඞඝග්‍රෙනරර්,ඞඝග්‍රෙනරර්
ප්‍රේමවතී,ප්‍රේමවතී,ප්‍රේමවතී
වික්‍රමසිංහ,වික්‍රමසිංහ,වික්‍රමසිංහ
සංජීව,යසංජීව,යසංජීව
විජේසූරිය,වචිපේසූරය,වචිපේසූරය
මංජුල,මංජුළු,මංජුළු
මනීෂි,නවමනීම්ි,නවමනීම්ි
පේඩිගේ,පේඩ්ගේ,පේඩ්ගේ
කසුන්,කසුන්,කසුන්
උඩගම,උඩගම,උඩගම
එදිරිසිංහ,ඞචිදිර්සිංග,ඞචිදිර්සිංග
විජේන්ද්‍ර,ඞඇවචිජේන්දු,ඞඇවචිජේන්දු
දියතිලක,දියනිලකල,දියනිලකල
වල්ගම්පලගේ,වල්ගම්පලගේ,වල්ගම්පලගේ
දුරයලාගේ,දුරයලාගේ,දුරයලාගේ
වාසුදේවන්,වාසුදේවන්,වාසුදේවන්
සුබසිංහ,සුබසිංහ,සුබසිංහ
චන්ද්‍රපාල,චන්ද්‍රපාල,චන්ද්‍රපාල
දික්වෙල,ඞදික්වෙල,ඞදික්වෙල
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සචින්ද්‍ර,සවින්ද්‍ර,සවින්ද්‍ර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රණතුංග,රණතුංග,රණතුංග
දිනේෂි,දිනේෂි,දිනේෂි
කලුආරච්චිලාගේ,කලූආරච්චිලාගේ,කලූආරච්චිලාගේ
කුමාරි,නුමාර්,නුමාර්
සුජීවා,සුපළිවුා,සුපළිවුා
වලිමුණි,ඞවචලිමුණි,ඞවචලිමුණි
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
ආචාරිලාගේ,ආචාරලාගේ,ආචාරලාගේ
සිරිවර්ධන,සිරිවර්ධධය,සිරිවර්ධධය
සිවකුමාර්,සිවබුමාර්,සිවබුමාර්
රේණුකා,රේණුකා,රේණුකා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
නසර්දීන්,නසර්දීන්ං,නසර්දීන්ං
ප්‍රියදර්ශිනි,පි්‍රියදර්ශිනි,පි්‍රියදර්ශිනි
ගනේගම,ගනේගම,ගනේගම
හොන්නන්තර,හොන්නන්තර,හොන්නන්තර
මුබාරක්,මුබාරක්,මුබාරක්
දිල්රුක්ෂිකා,දිල්රැක්ෂිකා,දිල්රැක්ෂිකා
ඉස්සරා,ඉඑසේසරාං,ඉඑසේසරාං
කුමාර,කුමාර,කුමාර
ආරච්චි,ආරච්චි,ආරච්චි
ආරච්චි,ආරච්ච්,ආරච්ච්
ලියනගේ,ඞලියනගේ,ඞලියනගේ
ඥාණසීලි,ඥාණසීලි,ඥාණසීලි
බිනුර,බිනුර,බිනුර
කුමාරකුරුලිංගම්,කුමාරකුරැලිංගම්,කුමාරකුරැලිංගම්
අප්පුහාමිලාගේ,අරප්ථුහාමිලාගේ,අරප්ථුහාමිලාගේ
ඔලන්කා,ේඞඔලන්කා,ේඞඔලන්කා
මිණිදු,ඞම්ණිදු,ඞම්ණිදු
මොහමඩ්,මොහමඩ්,මොහමඩ්
හපන්පේඩිගේ,හපන්ථේඩිගේ,හපන්ථේඩිගේ
සුරංග,සුරංග,සුරංග
ප්‍රියංගිකා,ප්‍රියංගිකා,ප්‍රියංගිකා
ප්‍රේමරත්න,ප්‍රේමරත්න,ප්‍රේමරත්න
යසින්ත,යසින්න,යසින්න
හාමීම්,හාම්ම්,හාම්ම්
ලාහිර්,ලාහිරි,ලාහිරි
ඉසාන්,යඉසාන්,යඉසාන්
අංගප්පුලිගේ,අංගඟප්පුලිගේ,අංගඟප්පුලිගේ
ඔරුකන්දලාගේ,ඔරැකන්දලාගේ,ඔරැකන්දලාගේ
කොලඹගේ,කොලඹගේ,කොලඹගේ
විවේකානන්දම්,විවේකානන්දම්,විවේකානන්දම්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ඉසික,මසික,මසික
ඥානසිරි,ඥානසිරි,ඥානසිරි
මහින්ද,මහින්ද,මහින්ද
අචිර,අවර,අවර
ශ්‍රීමාල්,ඛධඛඞශ්‍රීමා්ල්,ඛධඛඞශ්‍රීමා්ල්
අලියාර්,අලියාර්,අලියාර්
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
ඉමියා,ඉම්යා,ඉම්යා
හරිස්චන්ද්‍ර,හතර්ස්චන්දු,හතර්ස්චන්දු
ජයන්ති,ජයන්ති,ජයන්ති
පාතිමා,පාතිමා,පාතිමා
මුනිරත්න,ඞමුනිරත්න,ඞමුනිරත්න
මයිලාන්ගේ,මයිලාන්ගේ,මයිලාන්ගේ
නානායක්කාර,නානායක්කාර,නානායක්කාර
බිසෝමැණිකා,බිසෝමැණිකා,බිසෝමැණිකා
සීටින්ගේ,ඞඇසඞ්ීටින්ගේ,ඞඇසඞ්ීටින්ගේ
කාන්ති,කාන්ති,කාන්ති
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
බංගමගම,බංගමගම,බංගමගම
මුරුක්කුවාදුර,මුරුක්කුවාදුර,මුරුක්කුවාදුර
චතුර්යා,චතුරයා,චතුරයා
ශ්‍යාමලී,ශ්‍යාමමී,ශ්‍යාමමී
අද්දරගේ,අද්දුරගේ,අද්දුරගේ
රංගිකා,රංගිකා,රංගිකා
උදයසංකර්,උදයසංකර්,උදයසංකර්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
පව්සියා,පවසියා,පවසියා
නිමාලි,නිමාලි,නිමාලි
කමලා,කමලා,කමලා
අබ්දුල්,අබ්දුල්,අබ්දුල්
උඩුගල්පිටියෙ,උඩුගල්පිටියෙ,උඩුගල්පිටියෙ
අඹේගොඩ,අමේගොඩ,අමේගොඩ
විස්වලිංගම්,විස්වලිංගම්,විස්වලිංගම්
දිසානායක,දිසානායක,දිසානායක
අත්තනායකලාගේ,අත්තනායකලාගේ,අත්තනායකලාගේ
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
කරිජ්ජවත්තගේ,කරීජ්ජවත්නගේ,කරීජ්ජවත්නගේ
සංජය,සංජය,සංජය
රන්කපුදුරාලගේ,රන්කපුදුරාලගේ,රන්කපුදුරාලගේ
සිංගච්චාරිගේ,සිංගච්චාරගේ,සිංගච්චාරගේ
සිල්වා,සිල්වා,සිල්වා
තණ්ඩලගේ,තණ්ඩලගේ,තණ්ඩලගේ
ජයන්ති,ජයන්ති,ජයන්ති
හෙට්ටි,හෙට්ට්,හෙට්ට්
දුලාන්,දුලාන්,දුලාන්
සුභාෂිණි,ඈහසුභාෂිණි,ඈහසුභාෂිණි
බසීර්,බසීර්,බසීර්
ප්‍රියදර්ශණී,ප්‍රියදර්ඡධ,ප්‍රියදර්ඡධ
ගමගේ,ගමගේ,ගමගේ
චන්ද්‍රසේන,චන්දුසේන,චන්දුසේන
කුමාරි,බමර,බමර
සුනිල්,සුනිල්,සුනිල්
ගයානි,ගයානි,ගයානි
ලියන,ලියය,ලියය
කතලු,කතමළු,කතමළු
රුවන්තිකා,රුචන්නිකා,රුචන්නිකා
පෑලව,පෑව,පෑව
ක්‍රිෂාන්ති,ක්‍රිෂාන්නි,ක්‍රිෂාන්නි
පුංචිහේවාගේ,පුංචිභනේවාගේ,පුංචිභනේවාගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ආනන්ද,ආනන්ද,ආනන්ද
උමයංගනා,උමයංගනා,උමයංගනා
කරුණාවතී,කරුණාවතී,කරුණාවතී
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
කුගදීර්සන්,කුගදීර්සන්,කුගදීර්සන්
පේඩිගේ,එචේඩිගේ,එචේඩිගේ
ලක්සන්,ලක්සන්,ලක්සන්
උත්තරා,උත්තරා,උත්තරා
අප්පුහාමි,අප්පුහාමි,අප්පුහාමි
රත්නායක,රත්නායක,රත්නායක
කුලසිංහ,කුලසිංහ,කුලසිංහ
තිස්සවලංගු,තිස්සවලංගු,තිස්සවලංගු
ඉයාස්,ඉයාස්,ඉයාස්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ලියනආරච්චිගේ,ලියනආරච්චිගේ,ලියනආරච්චිගේ
අඹගහවත්තේ,අඹගනවත්තේ,අඹගනවත්තේ
අලිසීනි,අලියිනි,අලියිනි
කුමාර,කුමාර,කුමාර
කුමාර,කුමාර,කුමාර
වසම්,වසච්,වසච්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
සෆානි,සෆානි,සෆානි
ජගත්,ජගත්,ජගත්
අලගරත්න,අලගරත්න,අලගරත්න
තෙන්නන්ගර,තෙන්නන්ගර,තෙන්නන්ගර
සෙනෙවිරත්න,සෙනෙවිරත්නං,සෙනෙවිරත්නං
මුතුඅඩි,මුතුඅඩි,මුතුඅඩි
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
ගිංතොට,ගිංතොට,ගිංතොට
මංගලිකා,ඞමංගලිකා,ඞමංගලිකා
චමිඳු,චමදු,චමදු
ක්‍රිස්ටීන්,බ්‍ර්ස්වන්,බ්‍ර්ස්වන්
චතුරංග,චතුරංග,චතුරංග
නසාර්,නසාර්,නසාර්
පත්ත,පත්ත,පත්ත
සරත්චන්ද්‍ර,සරත්චන්ද්‍රං,සරත්චන්ද්‍රං
අඹිල්ලන්ගේ,අඹල්ලන්ගේ,අඹල්ලන්ගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
මධුසංඛ,ඞමධුසංඛ,ඞමධුසංඛ
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
කයිකාරගේ,කසිකාරගේ,කසිකාරගේ
කුමාර,කුමාර,කුමාර
මේරියන්,මේරයන්,මේරයන්
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
සුපුනි,සුරුනි,සුරුනි
චමිෂ්ක,චම්ෂ්ක,චම්ෂ්ක
කලෙයිචෙල්වි,කමෙයිවෙල්වි,කමෙයිවෙල්වි
හේෂාල්,හඞශෂන්ෂාල්,හඞශෂන්ෂාල්
වලකුඹුරේ,වලකුඹුරේ,වලකුඹුරේ
නිලන්ති,නිලන්ති,නිලන්ති
ගාලුගේ,ේඈගාලූගේ,ේඈගාලූගේ
හාසනි,හාසනි,හාසනි
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
කූඤ්ඤ,ඇකූුඤ්ඤ,ඇකූුඤ්ඤ
වන්නිනායක,චන්නිනායක,චන්නිනායක
අමාලි,අමාලි,අමාලි
ලක්මාල්,ඞඝඈලක්මාල්,ඞඝඈලක්මාල්
ගිහාන්,ශඛහිනාන්,ශඛහිනාන්
කිරිපෝරුගේ,කිරපෝරැගේ,කිරපෝරැගේ
ප්‍රනාන්දු,ප්‍රනාන්ද්‍ර,ප්‍රනාන්ද්‍ර
අන්තෝනි,අන්තෝනි,අන්තෝනි
මුදලිගේ,මුදලිගේ,මුදලිගේ
ප්‍රියන්තිකා,පියන්තිකා,පියන්තිකා
නිමලා,නිමමා,නිමමා
රත්නසිංහ,රත්නසිංහ,රත්නසිංහ
නන්දකුමාර්,නන්දකුමාර්ං,නන්දකුමාර්ං
අට්පුතරාසා,අට්පුනරාසා,අට්පුනරාසා
නාගොඩ,නාගොඩ,නාගොඩ
කාන්චනා,කාන්චනා,කාන්චනා
නිස්සංක,ඞඇඈනිස්සංක,ඞඇඈනිස්සංක
සඳුන්,සඳුන්,සඳුන්
ඉලුක්පිටිය,ඉලුක්පිටිය,ඉලුක්පිටිය
ජයවීරගමඇති,ජයවීරගමඇති,ජයවීරගමඇති
අළුත්,අළුත්,අළුත්
සේනානායක,සේනානායක,සේනානායක
රාජේන්ද්‍රන්,රාජේන්ද්‍රුන්,රාජේන්ද්‍රුන්
උඩුගම,උඩුගම,උඩුගම
මුදිතා,මුදුරා,මුදුරා
ජෙබමලේයි,ජෙබමලේයි,ජෙබමලේයි
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ඩයස්,ඩයස්,ඩයස්
ශෂීප්‍රභා,ඞෂශෂීප්‍රහ්‍රා,ඞෂශෂීප්‍රහ්‍රා
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
හලහකෝන්ගේ,හලහකෝන්ගේ,හලහකෝන්ගේ
සෙනෙවිරත්න,සෙනෙවිරත්න,සෙනෙවිරත්න
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
විදාන,විදාන,විදාන
දිස්නා,දිස්නා,දිස්නා
සොයිසා,සොයිසා,සොයිසා
පත්මලතා,පත්මලතා,පත්මලතා
නාරද,නාරද,නාරද
රිස්නියා,රිස්නියා,රිස්නියා
වේරගොඩ,වේරගොඩ,වේරගොඩ
පුෂ්ප,රජු,රජු
කෙලෙහි,කෙලෙනි,කෙලෙනි
පෙශිලා,ඞෂපෙශිලා,ඞෂපෙශිලා
කොඩිතුවක්කු,කොඩිතුවක්කු,කොඩිතුවක්කු
කුමාර,කුමාර,කුමාර
සිල්වා,සිල්වා,සිල්වා
අනුත්තරි,අනුත්තර,අනුත්තර
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අලියාර්,අලියාට,අලියාට
විතාන,විතාන,විතාන
කුමාරි,කුමාර්ං,කුමාර්ං
ගෙදර,ගෙදර,ගෙදර
කරුනාවතී,කරැනාවතී,කරැනාවතී
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ගීත්මා,ගඟීත්මා,ගඟීත්මා
ජයසේන,ජයසේන,ජයසේන
වනසුන්දරී,චනසුන්දර්,චනසුන්දර්
කමල්,කමල්,කමල්
සවුවාන්,සචුවාන්,සචුවාන්
කමල්,කමල්,කමල්
ජයසේකර,ජයසේකර,ජයසේකර
මොහොට්ටිගේ,මොහොට්ට්ගේ,මොහොට්ට්ගේ
ජයවීර,පයවර,පයවර
පහල,හළ,හළ
සජීවනි,සිප්වනි,සිප්වනි
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කල්‍යාණි,කල්‍යාණි,කල්‍යාණි
සුචරිත,සුචර්ත,සුචර්ත
ඉමාම්දීන්,ඞමමාම්ඳදීන්,ඞමමාම්ඳදීන්
වරුන්,විරැන්,විරැන්
කුමාරි,කමාර්,කමාර්
කවිෂ්ක,ඨකවිෂ්ඛාං,ඨකවිෂ්ඛාං
මුදලිගේ,මුදලිගේ,මුදලිගේ
ජයකොඩි,ජයකොඩි,ජයකොඩි
උපේක්ස්,අඋඅපේක්ස්,අඋඅපේක්ස්
වික්‍රමසේකර,වික්‍රමසේකර,වික්‍රමසේකර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ප්‍රියමන්ත,ප්‍රියමන්න,ප්‍රියමන්න
කෝෂලා,කෝෂලා,කෝෂලා
සිරිමතී,සිරීමතී,සිරීමතී
ගමරාලලාගේ,ගමරාලලාගේ,ගමරාලලාගේ
රත්නායක,රත්නායක,රත්නායක
ආරියරත්න,ආරියරත්න,ආරියරත්න
උපුල්,උපුල්,උපුල්
ගුණසේකර,ගුණසේකර,ගුණසේකර
ජයවික්‍රම,ජයවිට්‍රම,ජයවිට්‍රම
ඉන්දික,ඉන්දිකා,ඉන්දිකා
ඔර්ලින්,ඔඕර්ලින්,ඔඕර්ලින්
සොමිනන්දන,සොම්නන්දන,සොම්නන්දන
හේරත්,ඛඬඞහේරත්,ඛඬඞහේරත්
සුනිල්,සුනිල්,සුනිල්
ප්‍රියංත,ප්‍රිසාත්,ප්‍රිසාත්
මැහරූන්,මැනරෑන්,මැනරෑන්
මහේන්ද්‍රා,ඞමනේන්ද්‍රා,ඞමනේන්ද්‍රා
ජයතිලක,ජයතිලල,ජයතිලල
හුණුගේ,ඞහුණුගේ,ඞහුණුගේ
චමින්දි,ේඞචම්න්පි,ේඞචම්න්පි
ගීතකා,ඞඔඕීතතා,ඞඔඕීතතා
ගෙදර,ගෙදර,ගෙදර
අස්ෆාක්,අස්ගාක්,අස්ගාක්
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
ෆයිසල්,ෆයිසල්,ෆයිසල්
උබේවර්ධදන,උබේවර්ධදන,උබේවර්ධදන
වික්‍රමතුංග,චික්‍රමතංග,චික්‍රමතංග
ගෙදර,ගෙදර,ගෙදර
නිමේෂා,නිමේෂා,නිමේෂා
ආරියදාස,ආර්යදාස,ආර්යදාස
නලීන්,ඞනලීන්,ඞනලීන්
ෆයරුල්,ෆයරුල්ං,ෆයරුල්ං
ලලන්ත,ලලන්තන,ලලන්තන
